CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Ecuador,Production,2016.0,1000 tonnes,2.0,Im
Poland,Production,2016.0,1000 tonnes,2.0,Im
Suriname,Production,2016.0,1000 tonnes,2.0,Im
Cameroon,Production,2016.0,1000 tonnes,1.0,Im
Dominica,Production,2016.0,1000 tonnes,1.0,Im
El Salvador,Production,2016.0,1000 tonnes,1.0,Im
Guinea,Production,2016.0,1000 tonnes,1.0,Im
Honduras,Production,2016.0,1000 tonnes,1.0,Im
Timor-Leste,Production,2016.0,1000 tonnes,1.0,Im
Togo,Production,2016.0,1000 tonnes,1.0,Im
Trinidad and Tobago,Production,2016.0,1000 tonnes,1.0,Im
Argentina,Production,2016.0,1000 tonnes,0.0,Im
Australia,Production,2016.0,1000 tonnes,0.0,Im
Australia and New Zealand,Production,2016.0,1000 tonnes,0.0,A
Austria,Production,2016.0,1000 tonnes,0.0,Im
Azerbaijan,Production,2016.0,1000 tonnes,0.0,Im
Barbados,Production,2016.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Production,2016.0,1000 tonnes,0.0,Im
China,Production,2016.0,1000 tonnes,0.0,A
"China, Hong Kong SAR",Production,2016.0,1000 tonnes,0.0,Im
Other non-specified areas,Production,2016.0,1000 tonnes,0.0,Im
Colombia,Production,2016.0,1000 tonnes,0.0,Im
Costa Rica,Production,2016.0,1000 tonnes,0.0,Im
Croatia,Production,2016.0,1000 tonnes,0.0,Im
Denmark,Production,2016.0,1000 tonnes,0.0,Im
Egypt,Production,2016.0,1000 tonnes,0.0,Im
Eswatini,Production,2016.0,1000 tonnes,0.0,Im
Finland,Production,2016.0,1000 tonnes,0.0,Im
France,Production,2016.0,1000 tonnes,0.0,Im
Germany,Production,2016.0,1000 tonnes,0.0,Im
Grenada,Production,2016.0,1000 tonnes,0.0,Im
Guatemala,Production,2016.0,1000 tonnes,0.0,Im
Iraq,Production,2016.0,1000 tonnes,0.0,Im
Ireland,Production,2016.0,1000 tonnes,0.0,Im
Italy,Production,2016.0,1000 tonnes,0.0,Im
Japan,Production,2016.0,1000 tonnes,0.0,Im
Maldives,Production,2016.0,1000 tonnes,0.0,Im
Mauritius,Production,2016.0,1000 tonnes,0.0,Im
Nepal,Production,2016.0,1000 tonnes,0.0,Im
Netherlands,Production,2016.0,1000 tonnes,0.0,Im
New Caledonia,Production,2016.0,1000 tonnes,0.0,Im
New Zealand,Production,2016.0,1000 tonnes,0.0,Im
Nicaragua,Production,2016.0,1000 tonnes,0.0,Im
Norway,Production,2016.0,1000 tonnes,0.0,Im
Panama,Production,2016.0,1000 tonnes,0.0,Im
Peru,Production,2016.0,1000 tonnes,0.0,Im
Portugal,Production,2016.0,1000 tonnes,0.0,Im
Republic of Korea,Production,2016.0,1000 tonnes,0.0,Im
Saint Kitts and Nevis,Production,2016.0,1000 tonnes,0.0,Im
Saint Lucia,Production,2016.0,1000 tonnes,0.0,Im
Saint Vincent and the Grenadines,Production,2016.0,1000 tonnes,0.0,Im
Sao Tome and Principe,Production,2016.0,1000 tonnes,0.0,Im
Seychelles,Production,2016.0,1000 tonnes,0.0,Im
Sweden,Production,2016.0,1000 tonnes,0.0,Im
Turkey,Production,2016.0,1000 tonnes,0.0,Im
United Kingdom of Great Britain and Northern Ireland,Production,2016.0,1000 tonnes,0.0,Im
United States of America,Production,2016.0,1000 tonnes,0.0,Im
Zimbabwe,Production,2016.0,1000 tonnes,0.0,Im
Philippines,Production,2015.0,1000 tonnes,1124.0,Im
Indonesia,Production,2015.0,1000 tonnes,917.0,Im
India,Production,2015.0,1000 tonnes,371.0,Im
Viet Nam,Production,2015.0,1000 tonnes,153.0,Im
Mexico,Production,2015.0,1000 tonnes,127.0,Im
Malaysia,Production,2015.0,1000 tonnes,52.0,Im
Sri Lanka,Production,2015.0,1000 tonnes,50.0,Im
Melanesia,Production,2015.0,1000 tonnes,44.0,A
Mozambique,Production,2015.0,1000 tonnes,31.0,Im
Thailand,Production,2015.0,1000 tonnes,29.0,Im
Bangladesh,Production,2015.0,1000 tonnes,28.0,Im
Côte d'Ivoire,Production,2015.0,1000 tonnes,17.0,Im
Papua New Guinea,Production,2015.0,1000 tonnes,16.0,Im
