CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Czechoslovakia,Processing,1987.0,1000 tonnes,0.0,A
Denmark,Processing,1987.0,1000 tonnes,0.0,A
France,Processing,1987.0,1000 tonnes,0.0,A
Hungary,Processing,1987.0,1000 tonnes,0.0,A
Japan,Processing,1987.0,1000 tonnes,0.0,A
Romania,Processing,1987.0,1000 tonnes,0.0,A
Sweden,Processing,1987.0,1000 tonnes,0.0,A
Thailand,Processing,1987.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1987.0,1000 tonnes,0.0,A
Brazil,Processing,1986.0,1000 tonnes,0.0,A
Canada,Processing,1986.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1986.0,1000 tonnes,0.0,A
Denmark,Processing,1986.0,1000 tonnes,0.0,A
France,Processing,1986.0,1000 tonnes,0.0,A
Hungary,Processing,1986.0,1000 tonnes,0.0,A
Japan,Processing,1986.0,1000 tonnes,0.0,A
Romania,Processing,1986.0,1000 tonnes,0.0,A
Sweden,Processing,1986.0,1000 tonnes,0.0,A
Thailand,Processing,1986.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1986.0,1000 tonnes,0.0,A
Brazil,Processing,1985.0,1000 tonnes,0.0,A
Canada,Processing,1985.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1985.0,1000 tonnes,0.0,A
Denmark,Processing,1985.0,1000 tonnes,0.0,A
France,Processing,1985.0,1000 tonnes,0.0,A
Hungary,Processing,1985.0,1000 tonnes,0.0,A
Japan,Processing,1985.0,1000 tonnes,0.0,A
Romania,Processing,1985.0,1000 tonnes,0.0,A
Sweden,Processing,1985.0,1000 tonnes,0.0,A
Thailand,Processing,1985.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1985.0,1000 tonnes,0.0,A
Brazil,Processing,1984.0,1000 tonnes,0.0,A
Canada,Processing,1984.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1984.0,1000 tonnes,0.0,A
Denmark,Processing,1984.0,1000 tonnes,0.0,A
France,Processing,1984.0,1000 tonnes,0.0,A
Hungary,Processing,1984.0,1000 tonnes,0.0,A
Japan,Processing,1984.0,1000 tonnes,0.0,A
Romania,Processing,1984.0,1000 tonnes,0.0,A
Sweden,Processing,1984.0,1000 tonnes,0.0,A
Thailand,Processing,1984.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1984.0,1000 tonnes,0.0,A
Brazil,Processing,1983.0,1000 tonnes,0.0,A
Canada,Processing,1983.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1983.0,1000 tonnes,0.0,A
Denmark,Processing,1983.0,1000 tonnes,0.0,A
France,Processing,1983.0,1000 tonnes,0.0,A
Hungary,Processing,1983.0,1000 tonnes,0.0,A
Japan,Processing,1983.0,1000 tonnes,0.0,A
